geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,competitor_activity_score_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,conversions,revenue_per_conversion,population
Geo0,2021-01-25,334723.0,835023.0,640496.0,1792866.0,-0.11243154,-2.5312195,3733.023,9338.765,7171.03,20701.168,12623308.0,0.034714095,847483.56
Geo0,2021-02-01,468612.0,1907143.0,2754715.0,2159610.0,-1.2727838,0.13626495,5226.23,21329.184,30841.947,24935.744,15978182.0,0.03485787,847483.56
Geo0,2021-02-08,1336626.0,1698215.0,0.0,934249.0,-0.12160891,-0.86721164,14906.82,18992.566,0.0,10787.223,16628105.0,0.034741454,847483.56
Geo0,2021-02-15,1212772.0,393463.0,1150178.0,1830576.0,-0.48132497,2.4018297,13525.529,4400.4277,12877.459,21136.582,21324220.0,0.03459455,847483.56
Geo0,2021-02-22,2364579.0,2119085.0,1147785.0,1324994.0,-3.0657835,2.2985675,26371.143,23699.51,12850.667,15298.925,16610399.0,0.034668744,847483.56
Geo0,2021-03-01,441907.0,1353041.0,211089.0,965094.0,-1.7165182,1.7617589,4928.4004,15132.195,2363.3645,11143.372,18049840.0,0.035154354,847483.56
Geo0,2021-03-08,1092270.0,1915313.0,1655031.0,333099.0,0.11543126,1.5392315,12181.622,21420.557,18529.822,3846.098,20576920.0,0.03479066,847483.56
Geo0,2021-03-15,1960503.0,3110736.0,1630561.0,1823104.0,2.799828,1.6224214,21864.654,34789.977,18255.854,21050.307,22751164.0,0.03507927,847483.56
Geo0,2021-03-22,2184731.0,562249.0,1148502.0,2490012.0,-3.426246,-0.21969932,24365.373,6288.1035,12858.694,28750.701,16551379.0,0.034528065,847483.56
Geo0,2021-03-29,0.0,1846081.0,2285400.0,1298913.0,4.0180907,-2.1239557,0.0,20646.277,25587.469,14997.783,17542268.0,0.034992635,847483.56
Geo0,2021-04-05,665693.0,1930886.0,2510847.0,1037306.0,2.3819904,-1.5444385,7424.1904,21594.723,28111.588,11977.161,15619932.0,0.035119023,847483.56
Geo0,2021-04-12,767825.0,1587074.0,1129662.0,2395628.0,0.6396159,-1.9851018,8563.225,17749.584,12647.761,27660.904,14432953.0,0.035397485,847483.56
Geo0,2021-04-19,205627.0,804615.0,1195258.0,988025.0,-0.6955003,2.0308046,2293.2703,8998.687,13382.177,11408.143,17839936.0,0.034932014,847483.56
Geo0,2021-04-26,984654.0,1417680.0,1281125.0,2390654.0,2.0263948,-2.2653606,10981.427,15855.108,14343.549,27603.473,14858806.0,0.03459242,847483.56
Geo0,2021-05-03,1300802.0,776128.0,1591939.0,1797698.0,-0.9276302,-1.0203569,14507.29,8680.092,17823.44,20756.959,15561192.0,0.035454426,847483.56
Geo0,2021-05-10,1546905.0,1234679.0,458890.0,798035.0,-2.3102326,-3.6704311,17251.973,13808.454,5137.759,9214.439,11811983.0,0.034882244,847483.56
Geo0,2021-05-17,1152536.0,956915.0,931427.0,2212475.0,-0.82221806,6.3107595,12853.743,10701.985,10428.311,25546.145,25144898.0,0.035242792,847483.56
Geo0,2021-05-24,1285358.0,1356422.0,166151.0,1298807.0,-1.5769477,-1.5767984,14335.05,15170.008,1860.2361,14996.559,13395906.0,0.034651954,847483.56
Geo0,2021-05-31,1311719.0,1326038.0,394996.0,1488322.0,-4.152414,-2.0437841,14629.043,14830.198,4422.398,17184.777,12104601.0,0.035304286,847483.56
Geo0,2021-06-07,1937439.0,2229903.0,683196.0,997349.0,-0.28072277,0.042329825,21607.432,24938.88,7649.1016,11515.801,18448732.0,0.035250265,847483.56
