geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,competitor_activity_score_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,conversions,revenue_per_conversion,population,Channel3_reach,Channel3_frequency
Geo0,2021-01-25,1392518.0,3733.0,670235.0,0.0,-0.7833502,3.036792,15482.038,42.681618,8004.103,0.0,12530976.0,0.035212554,487878.0,0.0,0.0
Geo0,2021-02-01,937228.0,722210.0,745025.0,226872.0,-1.8344073,-4.2447376,10420.116,8257.458,8897.263,2668.1526,4926880.5,0.035026085,487878.0,181472.0,1.2501763
Geo0,2021-02-08,1286569.0,329778.0,786262.0,743321.0,-1.995511,0.2009452,14304.095,3770.5486,9389.725,8741.906,10300557.0,0.034529336,487878.0,381866.0,1.9465493
Geo0,2021-02-15,1149907.0,529628.0,190449.0,400702.0,-4.925971,-1.5423908,12784.685,6055.5527,2274.3865,4712.499,7398028.5,0.03543016,487878.0,273012.0,1.4677083
Geo0,2021-02-22,1077028.0,1057061.0,584113.0,346168.0,-4.541369,0.6684942,11974.415,12086.009,6975.6143,4071.146,9409540.0,0.034636788,487878.0,247506.0,1.3986247
Geo0,2021-03-01,774729.0,656869.0,849588.0,322673.0,1.7773812,-4.721286,8613.449,7510.3755,10145.979,3794.8306,7860990.5,0.0352429,487878.0,235945.0,1.3675772
Geo0,2021-03-08,1225214.0,697392.0,977871.0,167921.0,1.3268511,0.25394657,13621.949,7973.6987,11677.964,1974.8529,11927644.0,0.035368923,487878.0,142038.0,1.182226
Geo0,2021-03-15,777514.0,752208.0,633407.0,0.0,1.3919222,-2.418649,8644.413,8600.443,7564.2944,0.0,8160054.5,0.035085868,487878.0,0.0,0.0
Geo0,2021-03-22,1410003.0,573287.0,1164050.0,519385.0,2.514721,1.4320503,15676.437,6554.7324,13901.357,6108.283,12857955.0,0.034718554,487878.0,319965.0,1.6232556
Geo0,2021-03-29,1066667.0,719666.0,516114.0,784015.0,3.8408453,-1.2340704,11859.221,8228.371,6163.554,9220.492,12365915.0,0.034733206,487878.0,390412.0,2.0081735
Geo0,2021-04-05,853537.0,69896.0,0.0,536537.0,3.6652486,-3.4031038,9489.639,799.16266,0.0,6310.001,9099579.0,0.035038866,487878.0,326112.0,1.6452538
Geo0,2021-04-12,1652474.0,719102.0,1050191.0,596608.0,0.17907412,1.5271134,18372.232,8221.922,12541.627,7016.4727,12162038.0,0.034662254,487878.0,344181.0,1.7334136
Geo0,2021-04-19,1317266.0,1017436.0,802109.0,0.0,6.6186237,-1.5336385,14645.385,11632.953,9578.974,0.0,11602825.0,0.034559503,487878.0,0.0,0.0
Geo0,2021-04-26,1249849.0,729988.0,513139.0,172502.0,-0.86046714,0.40367955,13895.842,8346.389,6128.026,2028.7283,9781006.0,0.034559634,487878.0,145222.0,1.1878504
Geo0,2021-05-03,866496.0,961641.0,801856.0,564532.0,-2.7519727,-2.8052917,9633.717,10995.016,9575.952,6639.2393,6722630.0,0.0345682,487878.0,334594.0,1.687215
Geo0,2021-05-10,621774.0,470920.0,0.0,863224.0,-0.89471257,3.908078,6912.8936,5384.3096,0.0,10152.038,11944040.0,0.034799628,487878.0,405298.0,2.1298501
Geo0,2021-05-17,937212.0,860998.0,624768.0,319531.0,0.45461172,-1.1633611,10419.938,9844.304,7461.1255,3757.8787,10038073.0,0.03498595,487878.0,234616.0,1.3619318
Geo0,2021-05-24,1556883.0,1029000.0,928534.0,759145.0,-3.3777642,-5.7397947,17309.451,11765.171,11088.7705,8928.006,3549004.2,0.03538363,487878.0,385153.0,1.9710219
Geo0,2021-05-31,893318.0,440928.0,450116.0,780507.0,-5.081344,1.5314934,9931.924,5041.393,5375.3906,9179.236,10486355.0,0.035461146,487878.0,389295.0,2.0049243
Geo0,2021-06-07,1190663.0,743244.0,982859.0,822510.0,-0.8833791,2.1552646,13237.811,8497.952,11737.532,9673.217,12584751.0,0.035120923,487878.0,397280.0,2.0703535
Geo0,2021-06-14,1174282.0,167579.0,568815.0,377975.0,2.9646068,3.0548773,13055.687,1916.0308,6792.922,4445.2153,14225372.0,0.034729816,487878.0,262774.0,1.4384034
Geo0,2021-06-21,868107.0,242709.0,391642.0,298052.0,1.1432811,-1.8577988,9651.628,2775.0369,4677.0806,3505.2725,9688958.0,0.03502405,487878.0,222233.0,1.341169
Geo0,2021-06-28,729061.0,642345.0,3580.0,973436.0,0.7024328,0.9792609,8105.712,7344.3135,42.753197,11448.198,10198388.0,0.034752145,487878.0,421869.0,2.3074367
Geo0,2021-07-05,1540727.0,884685.0,618683.0,1250577.0,-2.7440462,1.2443475,17129.828,10115.132,7388.457,14707.545,11105925.0,0.034975767,487878.0,450240.0,2.7775786
Geo0,2021-07-12,1140822.0,549423.0,796295.0,542505.0,-0.25896758,-0.2322037,12683.678,6281.881,9509.541,6380.1885,10771714.0,0.034716867,487878.0,326851.0,1.659793
Geo0,2021-07-19,1374597.0,878404.0,300063.0,519166.0,2.4708767,-3.104467,15282.792,10043.317,3583.4226,6105.7075,7034872.5,0.034559097,487878.0,319697.0,1.6239314
