time,conversions,revenue_per_conversion,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,Channel4_impression,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Channel4_spend,Organic_channel0_impression,competitor_sales_control,sentiment_score_control,Promo
2021-01-25,386300926.3,0.019999500475,44340630,10537596,6501889,66738506,53026011,325137.5683,101595.40427,48315.04518,520082.5242,413173.98404999997,24028870,-0.03243844069015607,-0.34201955046075144,0.27221072714801725
2021-02-01,355303931.3,0.01998960675,47391940,30857600,7966320,79000018,27592214,347511.96809,297505.26389,59197.12148,615634.5403,214996.0932,29188267,0.3120022539553071,0.8071504288542458,0.15126385595856015
2021-02-08,438308889.8,0.019992876875000003,28960185,23144749,4637739,68442555,20057461,212357.01945,223143.885196,34462.6877,533361.9165,156285.964472,12051369,-1.2436970396322125,-0.15200500643232065,0.5963952606095828
2021-02-15,418612413.7,0.0199860328,38126016,10667077,3029637,70601091,37246623,279567.5229,102843.75882999999,22513.00335,550183.038,290222.39524,9595212,-0.019224700506779987,-0.3775232866806769,0.34122415716604165
2021-02-22,355785298.0,0.01996872255,46890794,17925961,10486840,81842660,56259530,343837.2092,172828.34233,77926.91530000001,637786.8024,438369.28095,9288846,0.3442443932852095,0.03418092376598975,0.36606299020837113
2021-03-01,440615229.2,0.02000246165,31496378,19099596,3713252,58861970,26886668,230954.22032999998,184143.6276,27592.895,458701.94279999996,209498.54124,13711117,-0.6918905170404221,-0.554818099386319,0.371434106200056
2021-03-08,453055184.4,0.0199793372,25772939,4734654,7271164,68725846,37615253,188985.82603,45647.89567,54031.470174999995,535569.55042,293094.72857000004,13763654,-0.8488936806842128,-0.3734697084890113,0.09154353790737492
2021-03-15,390595846.66,0.019988259875,35435485,17853348,8084840,73628817,40915556,259838.5984,172128.26244,60077.836005000005,573777.6251,318810.39426,17933987,0.45424318262112623,0.15102188035166003,0.01244980528170738
2021-03-22,379050084.5,0.020012355574999998,28273144,27489089,6237490,64406105,56582012,207319.13709,265028.67238,46350.31636,501906.50854,440882.0359,31799726,0.5609510779117551,-1.5449445316516996,0.9280338998476032
2021-03-29,376504791.4,0.019999407475,48102115,18370050,10814751,54768193,31935062,352719.4922,177109.90583,80363.5964,426799.7886,248835.1787,19867542,-0.27565796598041276,0.36421477834171995,0.4879795999871765
2021-04-05,429622671.4,0.02001421985,19006405,14689528,16603730,80575635,34549374,139368.706623,141625.14255000002,123381.06204399999,627913.06933,269205.671988,14606900,-0.10327694566211201,0.08932596555830824,0.4989579190027011
2021-04-12,392479599.0,0.0199885401,11884095,22511541,8715033,64287874,43085333,87142.77803,217038.97897,64760.75242,500985.15380000003,335717.10887,20447459,-0.3431540694579985,0.04326752841757998,0.18384879895500705
